操作内容,台本
"NotebookLMホーム画面（ログイン済み、ノートブック一覧と「新しいノートブックを作成」ボタンが見える状態）を開いたまま、操作せずに3秒静止する。","ここからは実践に入っていきます。前回までに、AIに何を持たせるかで結果が変わる、ということを一緒に整理していただきましたね。"
"そのまま、画面を見せたまま話し続ける。","今日はその思想を、実際のNotebookLMの画面で形にしていきます。"
"そのまま話し続ける。","ゴールは、みなさんの手元にある授業ノートと配布プリントと参考書PDFを読み込ませて、自分のノートの解き方で質問に答えてくれるBotを、完成させるところまでです。"
"そのまま話し続ける。","流れは5ステップ。ノートブックを作って、ソースを入れて、質問して、範囲外の動きを見て、最後に運用の話までいきます。"
"そのまま話し続ける。","なお、この動画はGoogleアカウントでログイン済みの状態から始めます。まだの方は、notebooklm.google.comでログインしてから戻ってきてください。それでは始めていきましょう。"
"画面中央の「新しいノートブックを作成」ボタン（または類似ラベル）をクリックする。新規ノートブックの編集画面に切り替わる。","Phase1です。まず、学習Botの器になるノートブックを作ります。2段階認証が出る方は、スマホで承認してから続けてください。"
"画面上部のノートブック名欄（デフォルトで「無題のノートブック」等）をクリックして選択状態にする。入力欄に「高2_数学_微分」と一言一句そのまま入力し、Enterキーで確定する。","ノートブック名を変えます。今日は「高2_数学_微分」と付けます。ここ、大事なコツがひとつ。名前に科目と単元を入れることです。「高2_数学」だけだと、あとで別の単元を混ぜたくなってしまうので、1ノートブック1単元くらいの粒度がおすすめです。"
"ノートブック名が「高2_数学_微分」に変わったことを確認し、3秒静止する。","はい、ノートブックの器ができました。中はまだ空です。Phase2で、ここにみなさんの教材を入れていきます。"
"左ペインのソースエリアにある「+追加」ボタン（または「ソースを追加」ボタン）をクリックする。ソース追加のモーダルが表示される。","Phase2、ソースを追加していきます。今日入れるのは3カテゴリ。授業ノート、配布プリント、参考書の該当章です。実際には授業ノートが2冊あるので、合計4ファイルになります。"
"モーダルで「PDFをアップロード」を選び、ファイル選択ダイアログから「数学II_授業ノート1_微分.pdf」を選択して「開く」をクリックする。読み込み完了まで待つ。","1つ目、授業ノートの1冊目から入れます。一次情報の中心です。"
"再度「+追加」をクリックし、「数学II_授業ノート2_微分.pdf」を選択してアップロードする。読み込み完了まで待つ。","2冊目のノートも足します。みなさんも同じ手順で、自分のノートを順番に入れてみてください。"
"再度「+追加」をクリックし、「数学II_配布プリント_微分.pdf」を選択してアップロードする。読み込み完了まで待つ。","3つ目、先生の配布プリントです。ここも重要な一次情報ですね。"
"再度「+追加」をクリックし、「数学II_参考書_微分_該当章.pdf」を選択してアップロードする。読み込み完了まで待つ。","最後に、参考書は該当章だけを入れます。丸ごと1冊ではなく、範囲を絞るのがコツです。ここで、教養編でお話しした判断基準を思い出してください。関係ない単元や、解き方が違う別の参考書は、今日は入れていませんよね。これが「入れる／入れない」の判断です。"
"左ペインのソース一覧に4つのファイルが並んで表示されていることを確認する。各ファイル名を順にマウスでなぞり、3秒静止する。","4つそろいました。授業ノート2冊、配布プリント、参考書の該当章。このあと、ここに質問を投げていきます。"
"中央のチャット入力欄をクリックして選択する。","Phase3、いよいよ質問です。ここでひとつコツを共有します。プロンプトは毎回その場で考えていると時間がかかるので、よく使うものは事前にテキストファイルに用意しておくのがおすすめです。今日も、画面外に用意したテキストファイルからコピーして貼り付けます。"
"画面外のプロンプト集（prompts.txt）からPROMPT 1をコピーし、チャット入力欄に一言一句そのまま貼り付ける。\n---\nアップロードした授業ノート2冊と配布プリントの情報だけを使って、微分係数の定義を教えてください。教科書以外の難しい定理（ロピタルの定理など）は絶対に使わないでください。ノートに書かれている先生の板書の解説手順に沿って説明してください。\n---\n貼り付け後、1拍置いて送信ボタンまたはEnterキーを押す。","今回使うプロンプトはこちらです。ポイントは2つ。ひとつ、「情報だけを使って」と範囲を明示していること。ふたつ、「ノートの板書の解説手順に沿って」と、解き方のスタイルまで指定していること。これでNotebookLMは、みなさんの先生の教え方に合わせて答えてくれます。それでは送信します。"
"回答が生成されるのを3〜5秒待つ。表示された本文を上から下へゆっくりスクロールして、全体を見せる。","はい、出ましたね。まずは、説明が微分の範囲に絞られているか、一緒に確認しましょう。"
"回答文中に表示されている引用スニペット（番号付きリンク）をクリックする。元ソース（ノートやプリント）のハイライト箇所が表示されるまで待ち、3秒静止する。","ここが大事なところです。この数字のマーク、これが「引用スニペット」です。クリックすると、どのノートのどこを根拠にこの説明をしたかが、すぐ開きます。はい、ノートのこの部分が根拠だと分かりますね。答えをもらって終わり、ではなく、「どこに書いてあったか」まで確認できる。復習するときに、ものすごく効きます。"
"引用表示を閉じるか、元の回答画面に戻る。","ただ答えを受け取るだけではなく、根拠まで確認する。この習慣をつけていきましょう。"
"中央のチャット入力欄を再度クリックする。","Phase4にいきます。ここ、今日の動画で一番面白いところなので、見逃さないでください。あえて、範囲外を質問してみます。"
"画面外のprompts.txtからPROMPT 2をコピーし、チャット入力欄に一言一句そのまま貼り付けてEnterを押す。\n---\nこのノートの解き方を使って、積分を用いた体積の求め方を教えてください。ノートに記載がない場合は「資料にありません」と明示してください。一般知識で補わないでください。\n---","プロンプトはこちらです。今日のノートは微分の単元しか入れていないので、積分の体積は範囲外のはずです。どうなるでしょうか。"
"回答が生成されたら、「資料にありません」または近い趣旨の記述が見える位置でスクロールを止め、3秒静止する。マウスカーソルでその箇所を指し示す。","はい、ほら、「ご提供のソースには、積分による体積の求め方は記載されていません」という趣旨で返ってきましたね。ここ、すごく大事です。汎用AIだったら、ここで一般知識から体積公式を引っ張ってきて、それっぽく答えていたはずです。でもNotebookLMは、みなさんが渡した範囲の外には踏み出さない。「答えないこと」が、学習では強みになる。これが、教養編で言った「範囲限定」の価値です。"
"左ペインのソースエリアの「+追加」ボタンをクリックする。ファイル選択ダイアログから「数学II_微分_追加ノート.pdf」を選択して「開く」をクリックする。読み込み完了まで待つ。","Phase5、運用サイクルの話をします。新しいノートが増えたら、同じ手順で追加していきます。今は同じ微分の単元の、追加ノートを足してみます。"
"ソース一覧に「数学II_微分_追加ノート.pdf」が追加されたことを確認する。3秒静止する。","はい、5つ目として追加されました。こうやって、単元の進行に合わせて足していきます。"
"ソース一覧の「数学II_参考書_微分_該当章.pdf」にマウスを合わせ、右端のメニューアイコン（縦3点）またはチェックボックスをクリックする。表示されたメニューから「削除」を選択する。確認ダイアログが出たら「削除」を確定する。","逆に、もう使わないソースは削除します。たとえば今日、参考書の該当章は役割を果たしたので、外してみます。メニューから削除を選ぶだけです。"
"参考書PDFが一覧から消え、4つのソースが残っていることを確認する。3秒静止する。","はい、消えました。ポイントは、「ノートブックは育てるもの」ということです。一度作って終わりじゃなくて、新しいノートが出てきたら足す、役目が終わった資料は外す。この運用サイクルを回せると、ノートブックがずっとみなさんの学習のパートナーでい続けてくれます。"
"ノートブック全体（名前「高2_数学_微分」、ソース一覧、チャット履歴）が見える状態で3秒静止する。","Ending、今日のデモは以上です。一緒に振り返りましょう。"
"そのまま話し続ける。","今日やったのは3つです。ひとつ、ノートブックを作って、自分の教材を3カテゴリ4ファイルで読み込ませました。ふたつ、自分のノートの解き方で質問して、根拠まで確認できました。みっつ、範囲外の質問には答えないことと、追加と削除の運用を見ていただきました。"
"そのまま話し続ける。","ここでひとつ、お願いがあります。この動画を見終わったら、自分の教材で同じことをやってみてください。スマホで今使っている単元のノートを1ページ撮ってPDF化するところから始めて大丈夫です。完璧なノートじゃなくていい。まず手を動かして、自分のBotを起動することが、今日のいちばんの宿題です。"
"そのまま話し続ける。","今日で、NotebookLMに教材を持たせる、という1セットが終わりました。思い出してください。教養編の最後で、「NotebookLMは教材を持たせる。Gemsは先生の人格を持たせる」とお伝えしましたね。次の動画セットでは、その「先生の人格」を作りにいきます。教材を持たせたBotに、性格や話し方を重ねると、本当の意味で専属家庭教師が完成します。"
"完成画面（ノートブック「高2_数学_微分」の全体）を映したまま、2秒静止して終了。","姉妹のセット、AIに人格を与える編で、またお会いしましょう。"
