章,スライド番号,スライドタイトル,スライド用テキスト,ミニ台本
0,1,講座名,"計算の構造をAIで体系化する独学法をマスター
AIを壁打ち相手に、暗記から「構造ハック」へ","高校の計算、公式は覚えた。でも模試で初見問題が出ると手が止まる。それは計算の「構造」が見えていないからだ。この講座では、AIを壁打ち相手にして構造を見抜き、自分専用の解法マニュアルを作る方法を身につける。中学版を見ていない人は、先にそっちから見てほしい。"
0,2,暗記の限界を「構造の理解」で突破する,"この動画で得られること:
・計算の構造を見抜く3種のプロンプト
・AIを壁打ち相手にする実演
・NotebookLMで自分専用コーチを作る方法","中学版では「なぜ？」を聞く力を手に入れた。今回はその先。自分で仮説を立てて、AIに検証させて、計算の「型」として体系化する。最後まで見れば、その力が手に入る。では始めよう。"
1,3,章タイトルスライド,"計算の構造を見抜くためのAIへの聞き方
3種のプロンプトで構造を見抜く対話ができる","この章では、高校計算分野に特化した3つのプロンプトパターンを身につける。「とりあえず展開する」「公式に当てはめる」という場当たり的な処理から脱却し、AIを壁打ち相手にして計算の構造を見抜く対話ができるようになる。中学版の「なぜ？」を聞くスキルをさらに進化させ、自分の仮説を検証する段階へ引き上げるのがこの章の核だ。"
1,4,22個の公式を暗記しても初見問題は解けない,"パターン暗記の限界:
・公式を知っている≠判断できる
・青チャートの例題は解ける→模試で手が止まる
・必要なのは「判断基準」","高校の因数分解には22個以上の公式パターンがある。全部暗記して問題を見た瞬間にどれを使うか判断しろ。正直、これは無理ゲーだ。青チャートのコンパス3までの例題は解けても、模試になると手が止まる。そういう経験がある人は多いはず。原因はシンプルで、「公式を知っている」ことと「どの場面でどう使うか判断できる」ことはまったく別の能力だからだ。パターンを暗記しただけでは、初見問題にぶつかったときに判断基準がない。"
1,5,「教えてもらう」から「検証する」へ進化する,"中学版→高校版の進化:
・「なぜ？」を聞く→自分の仮説を検証する
・受け身の対話→能動の対話
・仕組み理解→構造把握+体系化","中学版では「なぜそうなるのか」をAIに聞く力を身につけた。高校ではその先が必要になる。「なぜ」だけじゃなく、「この問題はどう攻めるべきか」「この変形にはどんな構造があるか」をAIに検証させる。つまり、AIとの対話を「教えてもらう」段階から「自分の思考を検証する」段階へ引き上げる。これが中学版と高校版の決定的な違いだ。自分の仮説が先にあること。受け身から能動に切り替わること。それがこの章の核になる。"
1,6,構造を見抜く3種のプロンプト,"3つの武器:
・解法検証：方針のメリット・デメリットを検証
・構造発見：工夫の視点や置き換えのコツを引き出す
・型抽出：解法を一般化して自分専用マニュアルに","この章で身につけるのは、高校計算分野に特化した3つのプロンプトパターンだ。1つ目は「解法検証プロンプト」。自分の仮説をAIにぶつけて方針の妥当性だけを検証する。2つ目は「構造発見プロンプト」。スマートに解くための工夫の視点をAIに提案させる。3つ目は「型抽出プロンプト」。解法を一般化させて自分専用マニュアルにする。ゲームに例えるなら、解法検証はボス戦前の装備チェック、構造発見は弱点のヒント探し、型抽出はドロップアイテムを武器庫に登録する作業だ。"
1,7,解法検証：方針を答えなしで評価させる,"プロンプト例:
「まずはxについて整理して最低次の文字に着目するのがいいと思うんだけど、この方針で合ってる？解答は言わずに、メリット・デメリットだけ教えて」","まず解法検証プロンプト。複雑な因数分解の問題があったとする。「この式、まずはxについて整理して、最低次の文字に着目するのがいいと思うんだけど、この方針で合ってる？解答は言わずに、方針のメリット・デメリットだけ教えて。」ポイントは「解答は言わずに」の一言。これがあることで、AIは答えを出さずに方針の評価だけを返してくれる。自分で考える力を奪わない仕掛けだ。仮説を先に立てること、答えをブロックすること。この2点が解法検証プロンプトの核になる。"
1,8,構造発見：スマートな視点を引き出す,"プロンプト例:
「この数列の和、ゴリ押しで解けなくはないけど時間がかかりすぎる。もっとスマートに計算するための工夫の視点や置き換えのコツを2つ提案して」","次に構造発見プロンプト。数列の和の計算で「ゴリ押しで全部足せばいいけど、時間がかかりすぎる」という場面を想像してほしい。「この数列の和、もっとスマートに計算するための『工夫の視点』や『置き換えのコツ』を2つ提案して。」AIは部分分数分解の着眼点やシグマの公式の使い分けの基準を返してくれる。「2つ提案して」と数を指定するのがコツだ。選択肢があると、自分の頭で「どっちがこの問題に合うか」を判断できる。答えではなく視点をもらう。それが構造発見の本質だ。"
1,9,型抽出：解法を一般化してマニュアルにする,"プロンプト例:
「今解いた絶対値方程式の場合分けパターンを一般化して自分専用の解法マニュアルとしてまとめて。他の問題にも応用できるように箇条書きにして」","最後に型抽出プロンプト。絶対値を含む方程式を解き終わった後に使う。「今解いた絶対値方程式の問題、場合分けのパターンを一般化して『自分専用の解法マニュアル』としてまとめて。他の問題にも応用できるように箇条書きにして。」AIは「①境界値を求める ②数直線を区間に分割 ③各区間で絶対値を外す ④解を求めて条件と照合」のような手順を返してくれる。これが「型」だ。この型をストックしていけば、初見問題にも対応できる自分だけの武器になる。"
1,10,3種を回すサイクルが「構造ハック」の正体,"壁打ちの流れ:
①自分で方針を立てる
②解法検証で確かめる
③詰まったら構造発見で視点をもらう
④解き終わったら型抽出で一般化","3つを組み合わせた壁打ちの流れはこうなる。まず自分で方針を立てる。プロンプト1で検証する。解いてみる。詰まったらプロンプト2で工夫の視点をもらう。解き終わったらプロンプト3で型を抽出する。このサイクルを1問やるだけで、「暗記」ではなく「構造の理解」で計算を攻略する感覚がつかめる。中学版との一番の違いは「自分の仮説が先にある」こと。受け身から能動に切り替わっている。これが「教えてもらう」から「検証する」への進化だ。"
1,11,次の章で実際のAI画面を見せる,"まとめ:
・3種のプロンプトで暗記→構造パズルに変わる
・鍵は「仮説を立ててからAIにぶつける」姿勢
・次章：リアルな壁打ちを体感する","ここまでで、高校計算分野の構造を見抜くための3つのプロンプトパターンを整理した。解法検証で方針を確かめる、構造発見で工夫の視点を引き出す、型抽出で解法を一般化する。中学版との一番の違いは「自分の仮説が先にある」ということだ。中学版ではAIに「なぜ？」と聞くことがスタートだった。高校版では、まず自分で考えてからAIにぶつける。これが「教えてもらう」から「検証する」への進化だ。次の章では、今のプロンプトパターンを実際のAI画面で使っているところを見せる。"
2,12,章タイトルスライド,"実演・計算編
【録画映像差込】","【空白チャプター】制作者が実際のAI操作画面を録画した映像を後から差し込む。タイトルと尺の目安のみ設定。台本・スライド内容は生成しない。尺目安：10〜20分。"
3,13,章タイトルスライド,"NotebookLMで自分専用の数学コーチを作る
解法マニュアルを蓄積して日常的に活用する","この章では、Ch1で学んだプロンプトとCh2の実演で抽出した「型」を一箇所に集め、いつでも引き出せる環境を作る。NotebookLMという無料ツールを使って「自分専用の数学コーチ」を構築する方法を身につける。せっかく見抜いた構造も、チャット履歴に埋もれたら意味がない。蓄積と再利用の仕組みを作るのがこの章のゴールだ。"
3,14,抽出した「型」が履歴に埋もれたら意味がない,"実演で型を抽出した。でも:
・Geminiの履歴に埋もれる
・テスト前に「どこだっけ」と探し回る
・脳の記憶力には限界がある","前の章で、実際にAIと壁打ちしながら計算の構造を見抜く流れを見た。あの一連のやり取りで、自分だけの解法マニュアルが1つできたことになる。でも問題がある。あのやり取り、Geminiのチャット履歴に埋もれている。テスト前に「あのとき作った因数分解の型、どこだっけ」と探し回るのは非効率だし、そもそも見つからない可能性もある。脳の記憶力には限界がある。その限界を補い、抽出した型を一瞬で引き出せる「最強の外部脳」が必要になる。"
3,15,NotebookLMは自分の資料だけで答えるAI,"NotebookLMの特徴:
・自分がアップした資料だけをベースに回答
・ハルシネーション（嘘の生成）を抑制
・Gemini/ChatGPTとの決定的な違い","NotebookLMは、Googleが提供している無料のAIツールだ。最大の特徴は「自分がアップロードした資料だけをベースに答える」こと。GeminiやChatGPTはインターネット上のあらゆる情報を元に回答するから、関係ない情報が混ざったり、存在しない公式を作り出したりすることがある。NotebookLMにはそれがない。自分の教材の範囲でしか答えないから、回答の信頼性が高い。これが「自分専用の数学コーチ」として機能する理由だ。"
3,16,計算学習での3つの活用パターン,"使い方3つ:
①型抽出の結果を蓄積→解法パターン集
②ノート・プリントをPDFでアップロード
③テスト前に「間違えやすいポイントを整理して」","計算学習での使い方は3つ。1つ目は、プロンプト3（型抽出）でまとめた解法マニュアルをNotebookLMに蓄積する。因数分解の型、数列の型、絶対値の型。これが積み上がると、自分だけの解法パターン集が完成する。2つ目は、学校のプリントや自分のノートをPDFにしてアップロードする。3つ目は、テスト前にNotebookLMに「この範囲の型で、間違えやすいポイントを整理して」と聞く。自分の教材ベースだから、的外れな答えが返ってこない。"
3,17,NotebookLMの始め方と型の蓄積手順,"手順:
①Google検索→NotebookLM→ログイン
②新しいノートブック作成
③ソースを追加（テキスト貼付 or PDF）
④質問して「自分専用コーチ」として活用","手順を整理する。Googleで「NotebookLM」と検索して開く。Googleアカウントでログインしたら「新しいノートブック」を作成する。名前は「高校数学・計算の型」とでもしておけばいい。ここに「ソースを追加」で自分の教材を放り込んでいく。Geminiの画面から型抽出の結果をコピーしてテキストとして貼り付ける。学校のプリントはスマホで撮影してPDFにするか、データがあればそのままアップロードする。ソースを入れたらNotebookLMに聞くだけだ。"
3,18,日常的に積み上げれば「知識の複利効果」が回る,"サイクル:
構造を見抜く→型を抽出→ストック→必要なとき引き出す
→型が増えるほどコーチが賢くなる「複利効果」","NotebookLMを使えば、壁打ちで見抜いた構造、抽出した型、学校の教材をすべて一箇所に集めて、いつでも引き出せる環境が作れる。しかもこの仕組みには「複利効果」がある。型を1つ追加するたびに参照できる情報が増え、返ってくる回答の精度が上がっていく。解けば解くほど、自分専用のコーチが賢くなる。ポイントは、型を1つ作るたびにNotebookLMへ追加していくこと。テスト前にまとめて入れるんじゃなくて、日常的に積み上げる。それが複利効果を最大化するコツだ。"
4,19,章タイトルスライド,"ここからはあなたの番
今日から自走学習を開始する","ここまでで、計算の構造を見抜く3つのプロンプト、実際のAIとの壁打ち、NotebookLMでの環境構築。全部揃った。道具は完璧だ。でも道具が揃っただけでは何も変わらない。バットの握り方を知っていても、素振りしなければヒットは打てない。ここから先は、自分の手で仮説を立てて、AIにぶつけて、型を作っていくフェーズだ。この章では、今日から始める具体的なアクションを整理する。"
4,20,道具は揃った。あとは手を動かすだけ,"揃っているもの:
・プロンプトも、ツールも、仕組みも全部
・でも「揃っただけ」では力にならない
・自分の手で仮説を立て、AIにぶつけて初めて力になる","ここまでで、計算の構造を見抜く3つのプロンプト、実際のAIとの壁打ち、NotebookLMでの環境構築。全部揃った。中学版で「なぜ？」を聞く力を手に入れた上に、高校版で「構造を見抜いて体系化する」力の使い方を覚えた。道具は完璧だ。でも道具が揃っただけでは何も変わらない。バットの握り方を知っていても、素振りしなければヒットは打てない。ここから先は、自分の手で仮説を立てて、AIにぶつけて、型を作っていくフェーズだ。"
4,21,この動画で手に入れた3つの力,"3つの成果:
①構造を見抜く3種のプロンプト
②AIとの壁打ちで構造を見抜くリアルな流れ
③NotebookLMで「自分専用コーチ」を構築する方法","整理する。この動画で手に入れたものは3つ。1つ目は、計算の構造を見抜く3種のプロンプト。解法検証で方針を確かめる。構造発見で工夫の視点を引き出す。型抽出で解法を一般化する。この3つを使えば、パターン暗記から卒業できる。2つ目は、実際のAIとの壁打ちの流れ。仮説を立てる→検証する→工夫をもらう→型にする。このサイクルをリアルに見た。3つ目は、NotebookLMで自分専用の数学コーチを作る方法。型を蓄積して、必要なときに引き出せる環境が作れる。この3つが揃っている状態は、かなり強い。"
4,22,今日やること：1問だけでいい,"アクションプラン:
①「どう攻めればいいかわからない」問題を1つ選ぶ
②自分で仮説を立てる
③解法検証プロンプトでGeminiにぶつける
④型抽出→NotebookLMにストック","やることは1問だけでいい。この動画を見終わったら、今一番「どう攻めればいいかわからない」計算問題を1つ選んでほしい。教科書でも、青チャートでも、模試の復習でもいい。まず自分で仮説を立てる。正解じゃなくていい。間違っていてもいい。大事なのは自分で考えることだ。そしたら解法検証プロンプトでGeminiにぶつける。「この方針で合ってる？解答は言わずに、メリット・デメリットだけ教えて。」返ってきた答えを読んで、方針を修正して、解いてみる。解き終わったら型抽出で一般化。最後にNotebookLMへストック。これで最初の1サイクルが完成する。"
4,23,迷ったらこの動画を何度でも見返していい,"おさらい:
・暗記から「構造ハック」へ
・計算の見え方が変わる
・迷ったら見返す。何度でもいい","今回は以上になる。ここからはあなたが前に踏み出す番だ。計算は暗記ゲームじゃない。構造が見えれば、初見問題も「あ、このパターンか」と判断できるようになる。そしてその構造を見抜く道具は、もう全部手元にある。迷ったらこの動画を見返してほしい。何度でも見ていい。見返すたびに新しい気づきがある。NotebookLMに蓄積した型を見返すのもいい。全部、自分のペースでやれる。"
4,24,全力でいってらっしゃい,"最後に1つだけ。
AIは最強の壁打ち相手。
でも仮説を立てるのは自分だ。
主役はあなただ。","最後に1つだけ。AIは最強の壁打ち相手だけど、仮説を立てるのは自分だ。問いを投げるのも、構造を見抜くのも、型を作るのも、全部自分。主役はあなただ。全力でいってらっしゃい。"
